run_id,npz_name,source_kind,source_path,source_member,experiment,status,run_kind,timestamp_utc,sample_rate_hz_requested,sample_rate_hz_actual,sample_rate_error_hz,signal_frequency_hz,signal_frequency_measured_hz,fir_mode,power_tier_dbm,nblocks_requested,stale_blocks_dropped,nblocks_saved,nsamples,device_index,direct,gain_db,adc_mean_block_rms,adc_max,adc_min,adc_is_clipped,adc_passes_guard,guard_attempts,array_nblocks,array_nsamples
e1_sr1000000_f1565217_idx17_fir_default__pp0p0,e1_sr1000000_f1565217_idx17_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1565217_idx17_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:34.108310+00:00,1000000.0,1000000.026490954,0.02649095398373902,1565217.3913043477,1565217.3913043477,default,0.0,6,1,5,2048,0,True,0.0,62.778153296352045,82,44,False,True,1,5,2048
e1_sr1000000_f1565217_idx17_fir_default__pp10p0,e1_sr1000000_f1565217_idx17_fir_default__pp10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1565217_idx17_fir_default__pp10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:36.032933+00:00,1000000.0,1000000.026490954,0.02649095398373902,1565217.3913043477,1565217.3913043477,default,10.0,6,1,5,2048,0,True,0.0,40.454230813818654,59,29,False,True,1,5,2048
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm30p0,e1_sr1000000_f1652174_idx18_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1652174_idx18_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:24:29.927527+00:00,1000000.0,1000000.026490954,0.02649095398373902,1652173.9130434783,1652173.9130434783,alias_hack,-30.0,6,1,5,2048,0,True,0.0,12.714183714255153,-3,-20,False,True,1,5,2048
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm40p0,e1_sr1000000_f1652174_idx18_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1652174_idx18_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:24:27.892269+00:00,1000000.0,1000000.026490954,0.02649095398373902,1652173.9130434783,1652173.9130434783,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.8690904039683154,1,-2,False,False,3,5,2048
e1_sr1000000_f1652174_idx18_fir_alias_hack__pm50p0,e1_sr1000000_f1652174_idx18_fir_alias_hack__pm50p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1652174_idx18_fir_alias_hack__pm50p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:24:23.825145+00:00,1000000.0,1000000.026490954,0.02649095398373902,1652173.9130434783,1652173.9130434783,alias_hack,-50.0,6,1,5,2048,0,True,0.0,0.6262007520140659,1,-1,False,False,3,5,2048
e1_sr1000000_f1652174_idx18_fir_default__pm10p0,e1_sr1000000_f1652174_idx18_fir_default__pm10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1652174_idx18_fir_default__pm10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:38.966449+00:00,1000000.0,1000000.026490954,0.02649095398373902,1652173.9130434783,1652173.9130434783,default,-10.0,6,1,5,2048,0,True,0.0,13.214283933157379,21,6,False,True,1,5,2048
e1_sr1000000_f1652174_idx18_fir_default__pp0p0,e1_sr1000000_f1652174_idx18_fir_default__pp0p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1652174_idx18_fir_default__pp0p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:40.898589+00:00,1000000.0,1000000.026490954,0.02649095398373902,1652173.9130434783,1652173.9130434783,default,0.0,6,1,5,2048,0,True,0.0,62.5787340489837,82,46,False,True,1,5,2048
e1_sr1000000_f1652174_idx18_fir_default__pp10p0,e1_sr1000000_f1652174_idx18_fir_default__pp10p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1652174_idx18_fir_default__pp10p0.npz,E1,captured,power_tier_capture,2026-02-09T03:20:42.828386+00:00,1000000.0,1000000.026490954,0.02649095398373902,1652173.9130434783,1652173.9130434783,default,10.0,6,1,5,2048,0,True,0.0,37.68755922958267,51,21,False,True,1,5,2048
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm30p0,e1_sr1000000_f1739130_idx19_fir_alias_hack__pm30p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1739130_idx19_fir_alias_hack__pm30p0.npz,E1,captured,power_tier_capture,2026-02-09T03:24:41.086945+00:00,1000000.0,1000000.026490954,0.02649095398373902,1739130.4347826086,1739130.4347826086,alias_hack,-30.0,6,1,5,2048,0,True,0.0,13.498722538342582,0,-22,False,True,1,5,2048
e1_sr1000000_f1739130_idx19_fir_alias_hack__pm40p0,e1_sr1000000_f1739130_idx19_fir_alias_hack__pm40p0.npz,tar,data/raw/e1.tar.gz,e1/e1_sr1000000_f1739130_idx19_fir_alias_hack__pm40p0.npz,E1,captured_guard_fail,power_tier_capture,2026-02-09T03:24:39.053402+00:00,1000000.0,1000000.026490954,0.02649095398373902,1739130.4347826086,1739130.4347826086,alias_hack,-40.0,6,1,5,2048,0,True,0.0,0.8639186532509363,2,-2,False,False,3,5,2048
