frequency_hz,amplitude_v,reference_amplitude_v,gain_linear,gain_db,mode,run_id,curve_label,fir_mode,sample_rate_hz_nominal,power_tier_dbm,status,qc_analysis_pass,qc_recommended_pass,selection_preferred_power_dbm,selection_used_preferred_mode_power,source_kind,source_path,source_member,frequency_normalized_to_nyquist,frequency_normalized_to_fs
755773.8013994169,11.751267716147328,116.34340907277237,0.1010050144636638,-19.913141296656068,default@1.0MHz,e2_sr1000000_f755774_idx40_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f755774_idx40_fir_default__pm30p0.npz,1.511547563498597,0.7557737817492985
842076.6579201695,13.28213473766787,116.34340907277237,0.11416319019292226,-18.84947807470349,default@1.0MHz,e2_sr1000000_f842077_idx41_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f842077_idx41_fir_default__pm30p0.npz,1.684153272052354,0.842076636026177
938234.5570870821,12.452728656335424,116.34340907277237,0.1070342424687443,-19.40954520589432,default@1.0MHz,e2_sr1000000_f938235_idx42_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f938235_idx42_fir_default__pm30p0.npz,1.8764690653859686,0.9382345326929843
1045372.8598612307,12.516953871115337,116.34340907277237,0.10758627386692811,-19.364862670810137,default@1.0MHz,e2_sr1000000_f1045373_idx43_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f1045373_idx43_fir_default__pm30p0.npz,2.090745665363074,1.045372832681537
1164745.4337295503,12.216294893803196,116.34340907277237,0.10500203656712473,-19.57604554978469,default@1.0MHz,e2_sr1000000_f1164745_idx44_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f1164745_idx44_fir_default__pm30p0.npz,2.32949080689234,1.16474540344617
1297749.3270429138,11.782360125345111,116.34340907277237,0.10127226131026716,-19.890189850850124,default@1.0MHz,e2_sr1000000_f1297749_idx45_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f1297749_idx45_fir_default__pm30p0.npz,2.5954985866028646,1.2977492933014323
1445941.1190371693,11.546132147561254,116.34340907277237,0.09924182417879117,-20.066105229894614,default@1.0MHz,e2_sr1000000_f1445941_idx46_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f1445941_idx46_fir_default__pm30p0.npz,2.8918821628854023,1.4459410814427012
1611055.1368857082,11.110167988718283,116.34340907277237,0.0954946058162084,-20.400423192496508,default@1.0MHz,e2_sr1000000_f1611055_idx47_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f1611055_idx47_fir_default__pm30p0.npz,3.2221101899965516,1.6110550949982758
1795023.7529825086,10.495020916698936,116.34340907277237,0.09020726657695184,-20.895169535821655,default@1.0MHz,e2_sr1000000_f1795024_idx48_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f1795024_idx48_fir_default__pm30p0.npz,3.5900474126237847,1.7950237063118923
2000000.0,10.18297131440997,116.34340907277237,0.08752512407506093,-21.157345298187792,default@1.0MHz,e2_sr1000000_f2000000_idx49_fir_default__pm30p0,default@1.0MHz,default,1000000.026,-30.0,captured,True,True,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1000000_f2000000_idx49_fir_default__pm30p0.npz,3.999999896000003,1.9999999480000015
10000.0,1.9211578458797773,117.75219521810388,0.016315261404013365,-35.748119270606914,default@1.6MHz,e2_sr1600000_f10000_idx00_fir_default__pm30p0,default@1.6MHz,default,1600000.0,-30.0,captured_guard_fail,True,False,-30.0,True,tar,data/raw/e2.tar.gz,e2/e2_sr1600000_f10000_idx00_fir_default__pm30p0.npz,0.0125,0.00625
