run_id,f_true_hz,sample_rate_hz,predicted_alias_hz,measured_alias_hz,residual_hz,abs_residual_hz,uncertainty_hz,fir_mode,power_tier_dbm,status,adc_passes_guard,adc_is_clipped,qc_analysis_pass,qc_recommended_pass
e1_sr1000000_f2000000_idx22_fir_default__pm10p0,2000000.0,1000000.026490954,-0.05298190808389336,-1757.81254656613,-1757.7595646580462,1757.7595646580462,1528.5621344870651,default,-10.0,captured,True,False,True,True
e1_sr1000000_f2000000_idx22_fir_default__pp0p0,2000000.0,1000000.026490954,-0.05298190808389336,-1757.81254656613,-1757.7595646580462,1757.7595646580462,817.0508288066386,default,0.0,captured,True,False,True,True
e1_sr1000000_f2000000_idx22_fir_default__pp10p0,2000000.0,1000000.026490954,-0.05298190808389336,-1953.1250517401447,-1953.0720698320608,1953.0720698320608,976.5625258700724,default,10.0,captured,True,False,True,True
e1_sr1000000_f260870_idx02_fir_alias_hack__pm30p0,260869.5652173913,1000000.026490954,260869.56521739124,260742.19440730932,-127.37081008192035,127.37081008192035,0.0,alias_hack,-30.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f260870_idx02_fir_alias_hack__pm40p0,260869.5652173913,1000000.026490954,260869.56521739124,260742.19440730932,-127.37081008192035,127.37081008192035,0.0,alias_hack,-40.0,captured,True,False,True,True
e1_sr1000000_f260870_idx02_fir_alias_hack__pm50p0,260869.5652173913,1000000.026490954,260869.56521739124,260742.19440730932,-127.37081008192035,127.37081008192035,0.0,alias_hack,-50.0,captured,True,False,True,True
e1_sr1000000_f260870_idx02_fir_default__pp0p0,260869.5652173913,1000000.026490954,260869.56521739124,260742.19440730932,-127.37081008192035,127.37081008192035,0.0,default,0.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f260870_idx02_fir_default__pp10p0,260869.5652173913,1000000.026490954,260869.56521739124,260742.19440730932,-127.37081008192035,127.37081008192035,0.0,default,10.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f347826_idx03_fir_alias_hack__pm30p0,347826.0869565217,1000000.026490954,347826.0869565217,347656.25920974574,-169.82774677599082,169.82774677599082,0.0,alias_hack,-30.0,captured_guard_fail,False,True,True,False
e1_sr1000000_f347826_idx03_fir_alias_hack__pm40p0,347826.0869565217,1000000.026490954,347826.0869565217,347656.25920974574,-169.82774677599082,169.82774677599082,0.0,alias_hack,-40.0,captured,True,False,True,True
e1_sr1000000_f347826_idx03_fir_alias_hack__pm50p0,347826.0869565217,1000000.026490954,347826.0869565217,347656.25920974574,-169.82774677599082,169.82774677599082,0.0,alias_hack,-50.0,captured,True,False,True,True
